Full Path,Primary Category,Last Level
Preparing food and drink > Assistive products for weighing and measuring to prepare food and drink,Preparing food and drink,Assistive products for weighing and measuring to prepare food and drink
"Preparing food and drink > Assistive products for cutting, chopping and dividing to prepare food and drink",Preparing food and drink,"Assistive products for cutting, chopping and dividing to prepare food and drink"
Preparing food and drink > Assistive products for cleaning and peeling,Preparing food and drink,Assistive products for cleaning and peeling
Preparing food and drink > Assistive products for baking,Preparing food and drink,Assistive products for baking
Preparing food and drink > Machines for food preparation,Preparing food and drink,Machines for food preparation
Preparing food and drink > Other,Preparing food and drink,Other
Dishwashing > Dishwashing brushes and flask brushes,Dishwashing,Dishwashing brushes and flask brushes
Dishwashing > Dish drying racks,Dishwashing,Dish drying racks
Dishwashing > Dishcloth wringers,Dishwashing,Dishcloth wringers
Dishwashing > Other,Dishwashing,Other
Eating and drinking > Assistive products for service and storing food and drink,Eating and drinking,Assistive products for service and storing food and drink
Eating and drinking > Food dispensers,Eating and drinking,Food dispensers
"Eating and drinking > Cutlery, chopsticks and straws",Eating and drinking,"Cutlery, chopsticks and straws"
"Eating and drinking > Mugs, glasses, cups and saucers",Eating and drinking,"Mugs, glasses, cups and saucers"
Eating and drinking > Plates and bowls,Eating and drinking,Plates and bowls
Eating and drinking > Food guards,Eating and drinking,Food guards
Eating and drinking > Egg cups,Eating and drinking,Egg cups
Eating and drinking > Feeding apparatus,Eating and drinking,Feeding apparatus
Eating and drinking > Other,Eating and drinking,Other
"Housecleaning > Dustpans, dust brushes and dust brooms",Housecleaning,"Dustpans, dust brushes and dust brooms"
"Housecleaning > Brushes, sponges, chamois leathers, dusters and floorcloths",Housecleaning,"Brushes, sponges, chamois leathers, dusters and floorcloths"
Housecleaning > Vacuum cleaners,Housecleaning,Vacuum cleaners
Housecleaning > Carpet sweepers for dry use,Housecleaning,Carpet sweepers for dry use
Housecleaning > Floor mopping equipment,Housecleaning,Floor mopping equipment
Housecleaning > Other,Housecleaning,Other
Making and maintaining textiles for domestic use > Scissors,Making and maintaining textiles for domestic use,Scissors
Making and maintaining textiles for domestic use > Ironing machines and irons,Making and maintaining textiles for domestic use,Ironing machines and irons
Making and maintaining textiles for domestic use > Ironing boards and ironing tables,Making and maintaining textiles for domestic use,Ironing boards and ironing tables
Making and maintaining textiles for domestic use > Laundry baskets on castors,Making and maintaining textiles for domestic use,Laundry baskets on castors
Making and maintaining textiles for domestic use > Washing machines,Making and maintaining textiles for domestic use,Washing machines
Making and maintaining textiles for domestic use > Wringers for laundry,Making and maintaining textiles for domestic use,Wringers for laundry
Making and maintaining textiles for domestic use > Clothespins,Making and maintaining textiles for domestic use,Clothespins
Making and maintaining textiles for domestic use > Assistive products for drying clothes,Making and maintaining textiles for domestic use,Assistive products for drying clothes
Making and maintaining textiles for domestic use > Shoe cleaning devices,Making and maintaining textiles for domestic use,Shoe cleaning devices
Making and maintaining textiles for domestic use > Other,Making and maintaining textiles for domestic use,Other
Gardening and lawn care for domestic use > Tools for outdoor gardening,Gardening and lawn care for domestic use,Tools for outdoor gardening
Gardening and lawn care for domestic use > Assistive products for protecting the body while gardening,Gardening and lawn care for domestic use,Assistive products for protecting the body while gardening
Gardening and lawn care for domestic use > Tools for indoor gardening and flower arranging,Gardening and lawn care for domestic use,Tools for indoor gardening and flower arranging
Gardening and lawn care for domestic use > Other,Gardening and lawn care for domestic use,Other
"Tables > Reading desks, writing desks and standing desks",Tables,"Reading desks, writing desks and standing desks"
Tables > Dining tables,Tables,Dining tables
Tables > Bed tables,Tables,Bed tables
Tables > Other,Tables,Other
Light fixtures > General lights,Light fixtures,General lights
Light fixtures > Reading lights and working lights,Light fixtures,Reading lights and working lights
Light fixtures > Other,Light fixtures,Other
Sitting furniture > Chairs,Sitting furniture,Chairs
Sitting furniture > Stools,Sitting furniture,Stools
Sitting furniture > Standing chairs,Sitting furniture,Standing chairs
Sitting furniture > Coxit chairs,Sitting furniture,Coxit chairs
Sitting furniture > Lounge chairs and easy chairs,Sitting furniture,Lounge chairs and easy chairs
Sitting furniture > Special sitting furniture,Sitting furniture,Special sitting furniture
Sitting furniture > Chair lifts and chair transporters,Sitting furniture,Chair lifts and chair transporters
Sitting furniture > Modular seating systems,Sitting furniture,Modular seating systems
Sitting furniture > Other,Sitting furniture,Other
Accessories for sitting furniture > Back cushions,Accessories for sitting furniture,Back cushions
Accessories for sitting furniture > Neck and head support for sitting furniture,Accessories for sitting furniture,Neck and head support for sitting furniture
Accessories for sitting furniture > Leg rests and footrests,Accessories for sitting furniture,Leg rests and footrests
Accessories for sitting furniture > Cushions or systems added to seats to assist a person to stand or sit,Accessories for sitting furniture,Cushions or systems added to seats to assist a person to stand or sit
Accessories for sitting furniture > Other,Accessories for sitting furniture,Other
"Beds and bed equipment > Beds and detachable bed boards/mattress support platforms, non-adjustable",Beds and bed equipment,"Beds and detachable bed boards/mattress support platforms, non-adjustable"
Beds and bed equipment > Beds and detachable bed boards/mattress support platforms with manual adjustment,Beds and bed equipment,Beds and detachable bed boards/mattress support platforms with manual adjustment
Beds and bed equipment > Beds and detachable bed boards/mattress support platforms with powered adjustment,Beds and bed equipment,Beds and detachable bed boards/mattress support platforms with powered adjustment
Beds and bed equipment > Bed lifts,Beds and bed equipment,Bed lifts
Beds and bed equipment > Bedding,Beds and bed equipment,Bedding
Beds and bed equipment > Mattress and mattress coverings,Beds and bed equipment,Mattress and mattress coverings
Beds and bed equipment > Blanket supports,Beds and bed equipment,Blanket supports
Beds and bed equipment > Separate adjustable back supports and leg supports for beds,Beds and bed equipment,Separate adjustable back supports and leg supports for beds
Beds and bed equipment > Side rails to be fixed to beds,Beds and bed equipment,Side rails to be fixed to beds
Beds and bed equipment > Rails for self-lifting to be fixed to beds,Beds and bed equipment,Rails for self-lifting to be fixed to beds
Beds and bed equipment > Assistive products for bed-shortening,Beds and bed equipment,Assistive products for bed-shortening
Beds and bed equipment > Assistive products for bed-lengthening,Beds and bed equipment,Assistive products for bed-lengthening
Beds and bed equipment > Other,Beds and bed equipment,Other
Height adjustment of furniture > Leg extenders,Height adjustment of furniture,Leg extenders
Height adjustment of furniture > Height-adjustable plinths and brackets,Height adjustment of furniture,Height-adjustable plinths and brackets
Height adjustment of furniture > Pedestals and fixed height plinths and brackets,Height adjustment of furniture,Pedestals and fixed height plinths and brackets
Height adjustment of furniture > Other,Height adjustment of furniture,Other
Vertical accessibility > Portable ramps,Vertical accessibility,Portable ramps
Vertical accessibility > Other,Vertical accessibility,Other
Eating and drinking > Stoppers and funnels,Eating and drinking,Stoppers and funnels
Manipulate containers > Container openers,Manipulate containers,Container openers
Manipulate containers > Tube-squeezing devices,Manipulate containers,Tube-squeezing devices
Manipulate containers > Other,Manipulate containers,Other
Extended reach > Manual gripping tongs,Extended reach,Manual gripping tongs
Extended reach > Electric gripping tongs,Extended reach,Electric gripping tongs
Extended reach > Extenders without gripping function,Extended reach,Extenders without gripping function
Extended reach > Other,Extended reach,Other
Positioning > Fixed-position systems,Positioning,Fixed-position systems
Positioning > Other,Positioning,Other
Fixation > Suction cups,Fixation,Suction cups
Fixation > Non-slip pads,Fixation,Non-slip pads
Fixation > Clips and spring-clips,Fixation,Clips and spring-clips
